Title,Source,Location,Publisher Location,Date,Sentences,Relevant
Demonetisation effect: Jewellery trade scenario turns bleak,The Hindu,Andhra Pradesh,Chennai,2016-11-19,"long run, thanks to demonetisation. “In the short run, the bullion market likely to see a correction,” he opines, adding that “our business has come",0
Cash crisis continues to haunt most residents [Coimbatore],The Times of India,COIMBATORE,New Delhi,2016-11-19,"""oppari porattam"" criticizing the move and inability of the government to provide new currency notes. N Amirtham, state vice president of the AIDWA said that",0
"Uttar Pradesh CM Akhilesh Yadav calls decision ill-planned, demands relief for farmers",Indian Express,NA,NEW DELHI,2016-11-19,"stand that demonetisation will check corruption, Akhilesh said cases of graft involving new currency notes are already making news. ""We have also come to know",0
"New models, normal rains lift M&amp;M tractor growth [News]",The Economic Times,ET Intelligence Group,New Delhi,2016-11-19,"growth in the December quarter due to the government's demonetisation move, but volumes are likely to rebound from the March quarter. For M&M, market is",0
"Govt hospitals, fuel stations refuse to take old currency notes",Kashmir Monitor,Srinagar,New Delhi,2016-11-19,"they accept to exchange the old notes, it takes hours to get the new currency. Common man is suffering miserably from the move taken by",0
Companies with high earnings growth turn good buys post correction [News],The Economic Times,NA,New Delhi,2016-11-19,on money parked in investments and higher administrative cost of demonetisation are likely to be more than compensated by strong trading gains in the investment,0
"Now, demonetisation drive to hit Maharashtra sugar season",Financial Express,NA,NEW DELHI,2016-11-19,The 2016-17 sugar season in Maharashtra is likely to bear the brunt of the demonetisation move from the next week,0
Opp hopes to encash note ban,The Pioneer,New Delhi,New Delhi,2016-11-19,"Centre's stand that demonetisation will check corruption, Akhilesh said cases of graft involving new currency notes are already making news in some parts of the",0
Demonetisation and realty,The Hindu,Property Plus,Chennai,2016-11-19,small part of all transactions in this space. The demonetisation move is likely to result in luxury property prices dipping by as much as 25-30,0
"Jallikattu supporters protest, plan state-wide stir against ban [Madurai]",The Times of India,MADURAI,New Delhi,2016-11-19,"a special case during its winter session. But, the demonetization issue was likely to dominate the session, he pointed out. ""The ban on Jallikattu has|a special case during its winter session. But, the demonetization issue was likely to dominate the session, he pointed out. ""The ban on Jallikattu has",0
Demonetisation: Govt mulls limits on cash withdrawals and transactions for both individuals and companies [India Business],The Times of India,MUMBAI,New Delhi,2016-11-19,"be a strategy to avoid a blowback that demonetisation unleashed, experts said. The government may be looking at preparing and gauging the impact of such",0
Note ban an ill-planned move: Akhilesh Yadav,Kashmir Images,NEW DELHI,New Delhi,2016-11-19,"Centre's stand that demonetisation will check corruption, Akhilesh said cases of graft involving new currency notes are already making news in some parts of the",0
Currency crunch leads to cashless ATMs [Noida],The Times of India,NOIDA,New Delhi,2016-11-19,"some ATMs being recalibrated by the 10th day of demonetisation to accommodate new currency, many others still remain to address the issue. At the same",0
Distribute new notes across country: Ramadoss,The Hindu,Tamil Nadu,Chennai,2016-11-19,"despite 10 days having passed since the demonetisation. “Rs. 5 lakh crore worth new notes, which are said to have been printed, must be distributed",0
"Demonetisation: Govt mulls limits on cash withdrawals, transactions for individuals, companies [Personal Finance News]",The Economic Times,MUMBAI,New Delhi,2016-11-19,"be a strategy to avoid a blowback that demonetisation unleashed, experts said. The government may be looking at preparing and gauging the impact of such",0
"Demonetisation hits property market; Gurgaon, Ghaziabad, Faridabad, Jaipur in worst affected list",Financial Express,NA,NEW DELHI,2016-11-19,The real estate market in the country's tier-II and III cities are likely to feel a massive impact of the Centre's demonetisation move as majority,0
Lack of clarity dampens wedding plans [Goa],The Times of India,Panaji,New Delhi,2016-11-20,"disbursement of 2.5 lakh, but the hassle following the demonetization move is likely to continue as uncertainty still prevails among bankers due to the lack",0
Demonetisation hits liquor sale in Odisha,The Hindu,New Delhi,Chennai,2016-11-20,"Excise Revenue collection target of Rs.3,300 cr likely to be hit The demonetisation of high value currency notes has adversely",0
Terror finance,The Sentinel,NA,NEW DELHI,2016-11-20,"the offensive within a fortnight of the demonetization move, the region is likely to see more encounters with security forces in the coming days. In",0
Banks worried over safety of demonetised currency,The Hindu,Telangana,Chennai,2016-11-20,"areas,” the TGB official noted. The constraint imposed by demonetisation on banking operations is likely to ease somewhat as the government has restricted the quantum",0
"Ex-Planning Commission Member wants Rs. 2,000 note withdrawn",The Hindu,Tamil Nadu,Chennai,2016-11-20,"was not against the concept of demonetisation, Prof. Mungekar apprehended that the new currency would lead to hoarding, the very reason the Centre cited for",0
Medical tourism takes a hit,The Hindu,Telangana,Chennai,2016-11-20,"City of Pearls, one of the emerging hubs of medical tourism, is likely to be impacted in the short term by demonetisation of Rs. 500",0
"No crackdown on co-op banks, Shiv Sena warns Govt",Free Press Journal,Mumbai,NEW DELHI,2016-11-20,begin on Monday and yet again the opposition and other parties are likely to disrupt the parliament session over the demonetisation policy. Adsul defended their,0
"Demonetisation: Mamata continues protest in Kolkata; visits RBI office, Burrabazzar [Politics and Nation]",The Economic Times,KOLKATA,New Delhi,2016-11-20,a mass rally in the city to protest against demonetisation. Banerjee is likely to attend in the programme.,0
Mahindra Holidays: A good trip,Businessline,NA,Chennai,2016-11-20,"discretionary expense, with economic growth helping the business. The recent demonetisation move by the government may hurt the economy in the near term. This could",0
"Assam: Pengeri attack was 'joint operation' of 5 NE rebel groups, claims ULFA",Indian Express,NA,NEW DELHI,2016-11-20,"where they have their camps as well as leaders,"" the DGP said. ULFA wants new notes DGP Sahay also said that demonetisation had severely hit",0
Why India's demonetisation will not eliminate corruption,Kashmir Observer,Srinagar,New Delhi,2016-11-20,"invested in gold and other luxury items will be only marginally affected. This demonetisation is not likely to impact the structure, level and incidence of",0
MHA order puts Ranchi banks on Red alert [Ranchi],The Times of India,RANCHI,New Delhi,2016-11-20,CRPF officials said demonetization has badly affected the extremists and they are likely to go to any extent to meet their needs. Officials said the,0
Opposition unites against note pullout,The Telegraph (India),NA,NEW DELHI,2016-11-21,"to be made aware of the devastation that the demonetisation drive was likely to cause.""A false impression is being created by the government that the",0
No end in sight to govt-Opposition standoff,Businessline,NA,Chennai,2016-11-21,Washout appears ominous with Centre unlikely to heed demand for voting on demonetisation Washout appears ominous with Centre|to heed demand for voting on demonetisation Washout appears ominous with Centre unlikely to heed demand for voting on demonetisation The Winter Session of Parliament|to heed demand for voting on demonetisation Washout appears ominous with Centre unlikely to heed demand for voting on demonetisation The Winter Session of Parliament,0
MP By-elections: 66.1 % voting in Shahdol Lok Sabha seat and 71.2 % in Nepanagar assembly seat,The Hindustan Times,Bhopal,New Delhi,2016-11-21,"Since both the constituencies are reserved for the Scheduled Tribes (ST) candidates, the result on November 22 is likely to reflect the mood of tribals",0
Demonetisation: Modi has banked on personal equity to effect behaviour change,The Hindustan Times,India,New Delhi,2016-11-21,"good thing. A government official told me that the announcement had been rushed because buzz about a new currency was gaining momentum, especially in social",0
In fact: Why Narendra Modi's demonetisation is unprecedented,Indian Express,NA,NEW DELHI,2016-11-21,"also ultimately aimed at raising the country's abysmally low tax-GDP ratio. But although intended as a 'reform' measure, the Modi demonetisation is likely to have|August 2011, the price was back to 2,000 won/kg, except that this was in the new currency redenominated at 100:1! The Narendra Modi government's demonetisation",0
